DocId,Tweet,Processed,Score
3458,Mitt Romney wanna hold us back! Mitt Romney wanna hold us back! Mitt Romney wanna hold us BACK! *Rick Ross voice* LOL,mitt romney wanna hold us back mitt romney wanna hold us back mitt romney wanna hold us back rick ross voice lol,43.594255000000004
2,I'm not one for politics but it irks me that people would actually for Mitt Romney. Get your fucking knowledge up,i'm not one for politics but it irks me that people would actually for mitt romney get your fucking knowledge up,21.603008
3,I wonder what they think in their heads while the other one is speaking. Lol #PresidentialDebate,i wonder what they think in their heads while the other one is speaking lol #presidentialdebate,12.940348
9,#Debate2012  #Obama2012   I'm a broke college student --  just because my parents got it don't mean I do. #WritingMyOwnLegacy,#debate2012 #obama2012 i'm a broke college student just because my parents got it don't mean i do #writingmyownlegacy,23.402426
11,My husband likes the President's tie. Just thought y'all should know. @chriswilson02: I like Obama's tie.,my husband likes the president's tie just thought y'all should know i like obama's tie,35.089467000000006
12,Top down approach?  Not Obama you idiot.  But at least they agree on energy...  #PresidentialDebate,top down approach not obama you idiot but at least they agree on energy #presidentialdebate,12.628028
15,Shall we compare Obama's 'trickle down economics' to Cameron's cuts? Which country is not in recession? #debates #UKSpin,shall we compare obama's trickle down economics to cameron's cuts which country is not in recession #debates #ukspin,19.210778
17,Obama's doing really well not to let his smirk turn into a full blown giggle while Mitt talks. #debates,obama's doing really well not to let his smirk turn into a full blown giggle while mitt talks #debates,25.070826000000004
20,What time capsule does the Commission on Presidential Debates store this set in every four years? #debates,what time capsule does the commission on presidential debates store this set in every four years #debates,22.049616
21,When did Mitt Romney become a Democrat? Maybe after them 47% comments. #Debate2012,when did mitt romney become a democrat maybe after them comments #debate2012,4.603405
24,@CapehartJ: Romney: I know what it takes to get small biz going again. #Debates <~~ hmmmmmm?,romney i know what it takes to get small biz going again #debates hmmmmmm,35.748144999999994
25,The dude on Key & Peele sound just like president Obama! Haha,the dude on key peele sound just like president obama haha,34.298371
27,I'll just go for Obama because Mitt Romney is a racist motherfucker but i really don't care who's president --  lol.,i'll just go for obama because mitt romney is a racist motherfucker but i really don't care who's president lol,28.819918
28,Watching the debate even tho I honestly dnt care --  I already know who im voting for !! #TeamOBAMA,watching the debate even tho i honestly dnt care i already know who im voting for #teamobama,30.069656
29,Omg Obama you're legit saying what I just said in my where I stand essay please be president for ever,omg obama you're legit saying what i just said in my where i stand essay please be president for ever,29.974137000000002
31,Mitt Romney can't even look this man in the eye....stop looking down at your notes --  punk.,mitt romney can't even look this man in the eyestop looking down at your notes punk,10.901482
32,RT @FratBoysComedy: Mitt Romney is getting ready for the #debate by sending dick pics to himself.,mitt romney is getting ready for the #debate by sending dick pics to himself,11.360040000000001
34,For what Obama is saying --  it sounds fairly intelligent but I wanted an answer to the question #election2012,for what obama is saying it sounds fairly intelligent but i wanted an answer to the question #election2012,14.046833000000001
35,I got kinda tickled when Romney mentioned the Presidents Anniversary like he really cares #Debates,i got kinda tickled when romney mentioned the presidents anniversary like he really cares #debates,31.790284
36,#Obama scores 1st lie. The auto industry in not blazing back. GM is underwater again. #Debate2012 #wpro2012,#obama scores 1st lie the auto industry in not blazing back gm is underwater again #debate2012 #wpro2012,15.636251000000001
39,.@MittRomney's awkward smirk when he's not speaking is going to get real uncomfortable real quick. #PresidentialDebate,s awkward smirk when he's not speaking is going to get real uncomfortable real quick #presidentialdebate,24.970087
40,The market testing meter is annoying. #debates. I'm a #citizen not a consumer.,the market testing meter is annoying #debates i'm a #citizen not a consumer,10.414958
41,That smirk that Romney always has on his face just irks me. He is NOT to be trusted! #Obama2012,that smirk that romney always has on his face just irks me he is not to be trusted #obama2012,17.587491
42,PRESIDENT Obama RT @BarackObama The auto industry has come roaring back --  and housing has begun to rise.President Obama,president obama rt the auto industry has come roaring back and housing has begun to risepresident obama,24.232776
43,If it wasn't for Obamacare --  I would of died in the hospital a year ago.  #Obama2012,if it wasn't for obamacare i would of died in the hospital a year ago #obama2012,7.614426
44,i dont have a tax cut YOU'RE SO FULL OF SHIT LMAO #debates,i dont have a tax cut you're so full of shit lmao #debates,28.381676999999996
50,Bruh... RT @Brvh_: RT @_CaptainJohnson: Mitt Romney looks like he works for the Umbrella Corporation.,bruh rt rt mitt romney looks like he works for the umbrella corporation,18.105297
52,Romney's all like 0mg. I wi$h I had a k00l wif3. And L00k @ h0w h@wtt Obama iz! #Obama2012,romney's all like 0mg i wih i had a k00l wif3 and l00k h0w h obama iz #obama2012,20.376056
54,I don't give a shit what you people think. I care what the presidential candidates are saying. So shut up #debates,i don't give a shit what you people think i care what the presidential candidates are saying so shut up #debates,32.671491
55,If Mitt Romney wins --  the world might as well end in 2012.,if mitt romney wins the world might as well end in,8.533457
56,MITT ROMNEY YOU LOOK --  SMELL AND SOUND LIKE A BUNCH OF BULLSHIT >.< I can smell you threw my TV --  !,mitt romney you look smell and sound like a bunch of bullshit i can smell you threw my tv,23.958256
57,Cut taxes for the rich? THAT'S NOT WHAT I'M GONNA DO! - Mitt Romney,cut taxes for the rich that's not what i'm gonna do mitt romney,14.203800000000001
60,Romney's answer on jobs was better #PresidentialDebate --  Energy Independence is a huge key --  3 of his 5 matched Obama's,romney's answer on jobs was better #presidentialdebate energy independence is a huge key of his matched obama's,30.842982
64,President Obama wants to rebuild America by focusing on creating jobs for the middle class and utilize U.S. natural resources. #Debate,president obama wants to rebuild america by focusing on creating jobs for the middle class and utilize us natural resources #debate,41.500460999999994
65,Is Romney saying what President Obama said in a different way??? He's not even saying what his TV ads say... #47percent,is romney saying what president obama said in a different way he's not even saying what his tv ads say #47percent,30.834670000000003
67,#FNRDebate #Jobs #MittRomney knows how to save business --  will restore the vitality to get America running on right path again,#fnrdebate #jobs #mittromney knows how to save business will restore the vitality to get america running on right path again,32.95005
69,#NDAAruling - #DenverDebate Y u Should Be Outraged About The Ruling To Keep #NDAA Indefinite Detention Clause In Effectt...,#ndaaruling #denverdebate y u should be outraged about the ruling to keep #ndaa indefinite detention clause in effectt,10.032149
71,RT @DjQuestStupid: Retweet if u watching the debate and ready to watch #obama2012 kick ass!!!!,retweet if u watching the debate and ready to watch #obama2012 kick ass,25.022352
73,lol @EmElleWriter: Meanwhile.. President Obama looks young and fresh and smoove in the face..,lol meanwhile president obama looks young and fresh and smoove in the face,22.107505
74,#OBAMA #PRESIDENTIALDEBATE LET'S GET IT!! WATCH OBAMA EAT MITT!! LMS/RT IF YOUR WATCHING!!,#obama #presidentialdebate let's get it watch obama eat mitt lmsrt if your watching,16.685153
75,In my complex all I see is Romney bumper stickers. These rich ppl stay giving me the side eye,in my complex all i see is romney bumper stickers these rich ppl stay giving me the side eye,12.031427
76,Romney looks scared to death. Same look Seamus had on the car!! #debates,romney looks scared to death same look seamus had on the car #debates,17.402087
79,All these people keep talking about Obama& Romney --  I say throw them both out of the election &have @realDonaldTrump be president --  smart man.,all these people keep talking about obama romney i say throw them both out of the election have be president smart man,28.29496
83,I don't even fuck with politics but fuck a Mitt Romney. he's a selfish narrow headed arrogant bastard,i don't even fuck with politics but fuck a mitt romney he's a selfish narrow headed arrogant bastard,12.286297000000001
86,Mitt trying told hold back his laughter at Obama talkin like a retard #RomneyRyan2012,mitt trying told hold back his laughter at obama talkin like a retard #romneyryan2012,23.138620999999997
87,I can be a republican at times when it comes to sale items but I don't trust #mitt's ass,i can be a republican at times when it comes to sale items but i don't trust #mitt's ass,12.39158
88,Mitt Romney seriously looks like the mayor of whoville it can't be unseen,mitt romney seriously looks like the mayor of whoville it can't be unseen,19.092242000000002
89,Watching the debate with my daddy. He is so smart! After answers --  he is explaining it all to me. Maybe my dad should run? (; #election2012,watching the debate with my daddy he is so smart after answers he is explaining it all to me maybe my dad should run #election2012,19.911472
90,Lol idk I know I know nothing about politics I just don't want another president besides Obama I like him.,lol idk i know i know nothing about politics i just don't want another president besides obama i like him,46.939229000000005
91,Way to disengage. Silly Americans who decide not to watch debates. #debates,way to disengage silly americans who decide not to watch debates #debates,17.421325
92,The govt doesn't need to put more money and focus into education. WE need to put more effort into raising our kids. #PresidentialDebate,the govt doesn't need to put more money and focus into education we need to put more effort into raising our kids #presidentialdebate,20.408653
94,RT @Misstrophy1987: Doesn't take much he makes his self look stupid!!!! RT @TreyLongz Obama bout to make mitt Romney look stupid<- LOL,doesn't take much he makes his self look stupid rt obama bout to make mitt romney look stupid lol,26.099915
95,Obamas Campaiqn Sloqan Should Be  Once You Go Black  --  You Can NEVER Go Back  #TeamObama . (: Ctfuu .,obamas campaiqn sloqan should be once you go black you can never go back #teamobama ctfuu,18.526788
96,Presidential candidate Mitt Romney takes the stage for his two minutes. #election #vote,presidential candidate mitt romney takes the stage for his two minutes #election #vote,12.923808999999999
97,Mitt Romney is so sleazy. How can anyone believe what comes out of his mouth? #presidentialdebate,mitt romney is so sleazy how can anyone believe what comes out of his mouth #presidentialdebate,8.229978
99,Obama is doing exactly what Gore did with he and I agree .. which means ROMNEY IS DRIVING THE POINTS EVEN EARLY #denverdebate,obama is doing exactly what gore did with he and i agree which means romney is driving the points even early #denverdebate,13.051936
101,Stop debating things that don't matter. Tune into the real debate. #presidentialdebate,stop debating things that don't matter tune into the real debate #presidentialdebate,17.907563
102,me! RT @WilHeuser: Watching #PresidentialDebate with fam and good friends.. Who else is watching?,me rt watching #presidentialdebate with fam and good friends who else is watching,13.896355
103,I've been a journalist for too long --  the answer straight on shots freak me out. #debates #election2012,i've been a journalist for too long the answer straight on shots freak me out #debates #election2012,15.895261999999999
105,Mitt Romney needs to stop with all that fake laughing and take his ass to Shady Oak's Retirement Home.,mitt romney needs to stop with all that fake laughing and take his ass to shady oak's retirement home,16.792806
108,RT @Chrisk404: 5 million more people are on food stamps now since Obama has been president.,million more people are on food stamps now since obama has been president,21.65947
110,President Obama is thinkin right now...I should be at da White House fuckin my wife right now but i gotta look at dis pasty white bastard,president obama is thinkin right nowi should be at da white house fuckin my wife right now but i gotta look at dis pasty white bastard,36.191998999999996
115,How bad is it when I watch the #denverdebate I can visualize a #snl skit? Lol,how bad is it when i watch the #denverdebate i can visualize a #snl skit lol,11.550356999999998
117,IDK --  I really don't think you can make America energy independent by not wanting to invest in solar/wind --  Mittens. #presidentialdebate,idk i really don't think you can make america energy independent by not wanting to invest in solarwind mittens #presidentialdebate,26.539677999999995
118,Romney STFU when you in the presence of a real nigga #OBAMA,romney stfu when you in the presence of a real nigga #obama,7.542821
119,#Romney says he's concerned that the path we are on has not been successful. #PatchPolitics,#romney says he's concerned that the path we are on has not been successful #patchpolitics,6.338000999999999
123,People expect Obama to clean up the worst economy America has seen since  The Great Depression in one term --  stop it. #Obama2012,people expect obama to clean up the worst economy america has seen since the great depression in one term stop it #obama2012,27.464786999999998
126,I can't even deal with looking at Mitt Romney's face. He shouldn't look into the camera.,i can't even deal with looking at mitt romney's face he shouldn't look into the camera,16.622922
127,Is Mitt Romney dumb as hell? Lol cutting small business will take away A BUNCH of people's jobs,is mitt romney dumb as hell lol cutting small business will take away a bunch of people's jobs,33.401372
128,my followers are about to see a ton of ranting tweets about how much i hate romney. #prepareyourselves #sorry #Obama2012,my followers are about to see a ton of ranting tweets about how much i hate romney #prepareyourselves #sorry #obama2012,12.741076999999999
129,RT @xx_Harris: I don't care what anyone says OBAMA is going to be  PRESIDENT again,i don't care what anyone says obama is going to be president again,20.055452000000002
130,Presidential debate!!! Starting the morning with some proper education and entertainment #debate #elections #obama #romney,presidential debate starting the morning with some proper education and entertainment #debate #elections #obama #romney,23.181622
132,Mitt Romney don't pay no tax --  Mitt Romney don't pay no tax!,mitt romney don't pay no tax mitt romney don't pay no tax,18.911102
135,Anybody notice that Obama has a team #TeamObama and Romney is just #Romney2012 <-- dis nigga lame lol,anybody notice that obama has a team #teamobama and romney is just #romney2012 dis nigga lame lol,21.375690999999996
136,2 minutes into the #debates and the POTUS has already hijacked the term top-down from Hostile Takeover! #tcot,minutes into the #debates and the potus has already hijacked the term topdown from hostile takeover #tcot,20.156416
139,I like how prez obama is blowing shit up America's ass #unforgiveable #Romney 2012,i like how prez obama is blowing shit up america's ass #unforgiveable #romney,25.273537
141,I know he's kind of socially retarded and weird but he's my friend. #romney,i know he's kind of socially retarded and weird but he's my friend #romney,6.161719000000001
144,Mitt Romney is a dumb ass dude!! All college students need to vote for Obama if u want the tuitions to go down.,mitt romney is a dumb ass dude all college students need to vote for obama if u want the tuitions to go down,26.168761
146,I never realized how accurate SNL's presidential imitators (actors) are! They have Obama and Romney down! #SNL #PresidentialDebate,i never realized how accurate snl's presidential imitators actors are they have obama and romney down #snl #presidentialdebate,9.008052
150,Someone should advise those with Romney stickers on their cars of the safety risk. They might get hit....by me... It was so tempting #obama,someone should advise those with romney stickers on their cars of the safety risk they might get hitby me it was so tempting #obama,11.870314
151,Until now I had no idea what mitt Romney even looked like. I don't watch politics ... I watch my bank account.,until now i had no idea what mitt romney even looked like i don't watch politics i watch my bank account,28.412996
152,@FunkyDineva: Mitt Romney is full of shit eyeballs are brown from it!,mitt romney is full of shit eyeballs are brown from it,8.425187
153,Mitt Romney says he has a plan but all he has ever done is downsize and ship jobs overseas #MittNotFit,mitt romney says he has a plan but all he has ever done is downsize and ship jobs overseas #mittnotfit,18.575505999999997
155,I just laughed my ass off when Romney said number 2 so I probably shouldn't be allowed to watch these #debates.,i just laughed my ass off when romney said number so i probably shouldn't be allowed to watch these #debates,27.517142
158,#Obama doesnt want to talk about what he's done --  how about what he wants to do sans 2008...?,#obama doesnt want to talk about what he's done how about what he wants to do sans,11.008502
159,Romney: I know what it takes to get small business going again. To hire people. #DenverDebate,romney i know what it takes to get small business going again to hire people #denverdebate,41.310649000000005
163,Mitt Romney better not say shit about blacks ... I might just have to start a riot ..,mitt romney better not say shit about blacks i might just have to start a riot,22.680897
165,Listing the agreements --  making it seem like there is fewer differences between them. #debates,listing the agreements making it seem like there is fewer differences between them #debates,24.781672999999998
166,RT @Mrs_Hendrix_: THIS MOTHERFUCKER ON MY TIMELINE IS MIDDLE SCHOOL TALKING ABOUT #OBAMA BITCH GOODMOTHERFUCKINGBYE YOU CANT VOTE FOR AN ...,this motherfucker on my timeline is middle school talking about #obama bitch goodmotherfuckingbye you cant vote for an,16.432554
168,Affordable and Drexel.. Two words that are never in the same sentence. TRY AGAIN OBAMA. #PresidentialDebate,affordable and drexel two words that are never in the same sentence try again obama #presidentialdebate,7.758591000000001
169,Fuck Mitt Romney i'm middle class tryna make it .... and you tryna take it? Tf,fuck mitt romney i'm middle class tryna make it and you tryna take it tf,20.219923
170,@SwagAir: President Obama is about to destroy this margRTTTTT!! He's a boss,president obama is about to destroy this margrttttt he's a boss,10.783930999999999
171,Lehrer looks like he gets a boner every time he asks them a question. #DenverDebate,lehrer looks like he gets a boner every time he asks them a question #denverdebate,31.758694999999996
175,Obama speaking --  eyes glazing over - some many words --  so little substance #denverdebate #saveAmerica2012,obama speaking eyes glazing over some many words so little substance #denverdebate #saveamerica2012,10.994683
176,Watching the debate now lets goooooo Mitt Romney!!!!!! And I'd kill to be with @aromeo33 now bantering and going wild,watching the debate now lets goooooo mitt romney and i'd kill to be with now bantering and going wild,25.058321999999997
177,My dads reaction to Mitt Romney on the debate is so funny I can't even.,my dads reaction to mitt romney on the debate is so funny i can't even,11.580326
178,Mitt Romney don't pay no tax ! Mitt Romney don't make no tax !,mitt romney don't pay no tax mitt romney don't make no tax,18.938564
179,Mitt Romney is smirking at Obama like he smirked after that piss poor speech he gave right after Libya. #DenverDebate,mitt romney is smirking at obama like he smirked after that piss poor speech he gave right after libya #denverdebate,24.797579
183,Mitt Romney shut up. Obama is obvi more fab than you,mitt romney shut up obama is obvi more fab than you,1.080813
184,Make more investments in solar? Puhleeze. You mean #Obama has more campaign contributors in that industry that can hose taxpayers? #debates,make more investments in solar puhleeze you mean #obama has more campaign contributors in that industry that can hose taxpayers #debates,19.553626
185,Watching the debate with the most important political tools ever --  a bottle of Maker's Mark and a rowdy dude. #debates,watching the debate with the most important political tools ever a bottle of maker's mark and a rowdy dude #debates,27.051225000000002
187,First crucial observation: Obama's suit looks a bit big. Is he taking tips from Paul Ryan? #debates,first crucial observation obama's suit looks a bit big is he taking tips from paul ryan #debates,27.89418
188,Obama is a great speaker --  but I don't believe a word he says. #PresidentialDebate #TeamRomney,obama is a great speaker but i don't believe a word he says #presidentialdebate #teamromney,12.508278
190,Have a huge crush on Mitt Romney and I'm not sorry,have a huge crush on mitt romney and i'm not sorry,2.943405
191,we tried investing in alternative energy --  how has that worked out for us #debates,we tried investing in alternative energy how has that worked out for us #debates,20.461925
195,Oh boy --  this is going to be Boring vs Boring.  Where's Dubya when you need him?  #debates,oh boy this is going to be boring vs boring where's dubya when you need him #debates,19.250713
197,That's more then two minutes lol I'm such a hated of Mitt Romney,that's more then two minutes lol i'm such a hated of mitt romney,5.0545029999999995
198,After all the debate Mitt Romney and I just gonna go to Mexico and ball out.,after all the debate mitt romney and i just gonna go to mexico and ball out,21.876385999999997
199,I'm gonna watch this presidential debate. If you like Mitt Romney I suggest you fuck off. Obama is gonna kill his ass.,i'm gonna watch this presidential debate if you like mitt romney i suggest you fuck off obama is gonna kill his ass,41.466112
200,I imagine someone behind Mitt Romney pushing a 'Play' and 'Stop' button whenever he's asked a question. #Debates,i imagine someone behind mitt romney pushing a play and stop button whenever he's asked a question #debates,20.464581000000003
201,Obama Could Be President For Tha Rest Of My Life...Id Be Coo Wit That,obama could be president for tha rest of my lifeid be coo wit that,11.949081999999999
204,Can we stop threatening violence?? crack down on China if they cheat? #debate #debates,can we stop threatening violence crack down on china if they cheat #debate #debates,22.525396
206,But will Mitt Romney explain his connection to Hans Gruber and the events at Nakatomi Tower?,but will mitt romney explain his connection to hans gruber and the events at nakatomi tower,2.286855
207,Romney ya say one thing and right now your saying another dear Mitt get your shit together,romney ya say one thing and right now your saying another dear mitt get your shit together,33.409194
208,<longer than 4 years to fix it ok. I don't want fucking Mitt Romney to mess this economy up even more --  then like everyone could die.,longer than years to fix it ok i don't want fucking mitt romney to mess this economy up even more then like everyone could die,32.98159
209,If Mitt Romney becomes POTUS --  will he still be the leader of the Fantastic Four? #mockthevote #debate,if mitt romney becomes potus will he still be the leader of the fantastic four #mockthevote #debate,9.650938
210,Take the gloves off Mitt --  go for the jugular --  no playing nice. Get in the mud with this scoundrel #Debate2012 #denverdebate,take the gloves off mitt go for the jugular no playing nice get in the mud with this scoundrel #debate2012 #denverdebate,24.499463
211,Romney: I know what it takes to get small business growing again #DenverDebate,romney i know what it takes to get small business growing again #denverdebate,33.035862
213,I'm in on the #PresidentialDebate drinking game. Every time I hear a lie I'm taking a shot. Someone might wanna start funeral arrangements,i'm in on the #presidentialdebate drinking game every time i hear a lie i'm taking a shot someone might wanna start funeral arrangements,26.489808000000004
214,Romney has a serious cold tonight. His nose is red and his voice sounds scratchy. #debates,romney has a serious cold tonight his nose is red and his voice sounds scratchy #debates,20.903095
215,Mitt's answer was more detailed --  however --  it was extremely unrealistic --  completely. #Debates,mitt's answer was more detailed however it was extremely unrealistic completely #debates,12.080518999999999
216,Wait so Obamacare isnt President Obama himself feeding me hot soup?,wait so obamacare isnt president obama himself feeding me hot soup,13.152545
217,Housing has begun to rise?  I've got a short sale and a foreclosure on my block. #debate #denverdebate,housing has begun to rise i've got a short sale and a foreclosure on my block #debate #denverdebate,17.819253999999997
219,#Romney's ideas ain't all bad --  surprisingly a little lefty --  however they sound stupidly expensive --  ironic when you want to cut spending,#romney's ideas ain't all bad surprisingly a little lefty however they sound stupidly expensive ironic when you want to cut spending,19.911054000000004
222,I don't like Romney or Obama  --  so I pick myself for president. The world needs someone like me in office,i don't like romney or obama so i pick myself for president the world needs someone like me in office,40.504256000000005
223,Black really don't crack --  mitt Romney got that mcCain neck going for him.,black really don't crack mitt romney got that mccain neck going for him,15.826145999999998
224,according to the supposed #presidentialdebate drinking game... I'd be drunk right now just from Obama's introduction.,according to the supposed #presidentialdebate drinking game i'd be drunk right now just from obama's introduction,28.517045
225,The president says he wants more energy in America yet his agencies are halting new energy production. #debates,the president says he wants more energy in america yet his agencies are halting new energy production #debates,42.403495
232,Mitt Romney's face when Obama is talking just looks like he's constantly thinking black people are so cute,mitt romney's face when obama is talking just looks like he's constantly thinking black people are so cute,43.69476000000001
233,As a determined Independent --  I'm looking forward to the tonight's debate. #debates,as a determined independent i'm looking forward to the tonight's debate #debates,20.621874
235,Obama talks about spending more on solar.  After failing twice already he still wants to pump American $ into solar! #debates,obama talks about spending more on solar after failing twice already he still wants to pump american into solar #debates,24.831393000000006
236,RT @SteveAyscue: Here comes #Romney with his itty bitty steps... Annoys me to no end. Body language counts.,here comes #romney with his itty bitty steps annoys me to no end body language counts,7.1728559999999995
238,#debates this is the same thing @BarackObama said 4 years ago WHEN is it going to happen????,#debates this is the same thing said years ago when is it going to happen,20.291601
239,Or mitt romney wants more guns and bigger military ya boy second amendment,or mitt romney wants more guns and bigger military ya boy second amendment,8.192374
240,Can President Obama just become president again so this election can be over already. I'm tired of seeing ads.,can president obama just become president again so this election can be over already i'm tired of seeing ads,35.210184
241,Barack --  you are the top-down guy. You think govt should drive the economy. #debates,barack you are the topdown guy you think govt should drive the economy #debates,21.626494
243,#PresidentialDebate fuck you being on like every channel! No one in Canada cares!!,#presidentialdebate fuck you being on like every channel no one in canada cares,22.245365000000003
244,this used to bore me. It still kinda does --  but POTUS highly interest me Lol #Debate2012#Obama2012,this used to bore me it still kinda does but potus highly interest me lol #debate2012#obama2012,7.021195
245,Showing tweets about the debate during the debate is annoying! How else am I supposed to see what Romney is doing with his hands! #debates,showing tweets about the debate during the debate is annoying how else am i supposed to see what romney is doing with his hands #debates,34.373468
247,@HuffPostPol: Q1: What are the major differences between the two of you on job creation? Obama goes first http://t.co/ZQYjiSWy #debates,q1 what are the major differences between the two of you on job creation obama goes first #debates,17.733494999999998
251,Ok.  That's it for FB posts on this.  Follow me on Twitter if you want more.  I'm silly... Thanks. @MikeLivingston #debates,ok that's it for fb posts on this follow me on twitter if you want more i'm silly thanks #debates,20.489145
252,How???  RT @THEPOLOSCOTT: Like it or not.... Mitt Romney sound real good right now....,how rt like it or not mitt romney sound real good right now,27.133005
255,Mitt Romney wants to cuck Barack Obama. Alec Baldwin just pulled a spider off his diorama. #BeetlejuiceDebate,mitt romney wants to cuck barack obama alec baldwin just pulled a spider off his diorama #beetlejuicedebate,12.913289
256,The former polysci major side of me is psyched for this debate. #Presidentialdebate,the former polysci major side of me is psyched for this debate #presidentialdebate,12.851309
257,Look at those palm down gestures of Obama. Excellent. Much more credible.  He's doing better as he warms up. #obama #debate #denver,look at those palm down gestures of obama excellent much more credible he's doing better as he warms up #obama #debate #denver,16.117788
