WordId,Word,TextRankScore
681,camera,0.842548
1063,took,1.143127
39,question,4.370950
29,#presidentialdebate,1.617510
297,candidate,1.998159
3846,enough,1.248943
2587,true,0.895515
4241,meaning,0.400097
33,control,1.801248
35,higher,1.256326
958,mention,2.188482
745,schools,1.037866
145,presidential,4.524567
1262,streaming,0.215225
203,hair,2.133771
1327,amazing,1.664872
4,obama,11.059035
4005,politicians,0.407287
2044,su,1.196486
2047,en,2.338087
352,gonna,1.740124
286,lmao,1.182588
689,tweets,0.531923
854,flowing,0.573849
4698,carries,0.602713
128,love,2.242613
1623,shows,1.220972
825,voters,2.398811
303,education,4.737736
700,best,2.023320
460,now,4.834858
3110,dats,0.577706
1711,offering,0.938649
2401,actual,1.719450
5075,filthy,0.770925
351,rich,1.029490
81,thought,0.608471
2488,family,1.166992
430,second,0.618953
475,hmm,0.345130
477,#potus,1.273353
220,ready,3.410135
2487,t,0.223839
874,funny,0.941171
2349,millions,0.420868
70,got,3.621099
5151,chills,0.737554
195,saying,2.118450
1985,slick,0.646852
91,energy,1.865933
2851,waste,0.386413
3522,#ronpaul,0.397832
403,#mittromney,1.304816
2399,moment,0.584603
1085,opens,0.773128
1187,w,4.291758
5508,replace,0.438808
14,one,6.233132
5554,pregnant,0.568501
654,mittens,1.573917
1845,sweet,1.586259
957,strong,1.438367
2468,bc,0.827957
11,private,1.552846
1448,clue,0.257907
747,vote,2.278511
8,seen,2.027409
810,drinking,1.552627
6729,fellow,0.693365
291,good,4.092399
197,stand,0.446501
20,romney,11.400489
196,said,3.431009
5108,obummer,0.423573
714,english,0.454676
69,parents,1.378652
497,work,2.381894
1942,similar,0.544355
701,wishes,0.559922
179,michelle,3.759110
2467,mentions,1.448685
87,approach,1.503271
141,#denverdebate,3.370501
635,#tcot,3.988712
631,tough,0.796679
1715,went,1.233775
169,small,0.743224
191,already,3.205308
322,tomorrow,1.389108
599,morning,0.742402
193,omg,0.525997
2690,socialist,0.938804
111,country,1.854149
582,awesome,0.467154
5002,dodging,0.442997
1084,#nobama,1.306383
183,go,2.685047
132,many,3.015590
702,wonderful,0.633571
444,ppl,1.164794
409,running,1.447530
5797,accomplish,0.368929
4020,washington,1.055369
1640,#fraudward,0.361977
1066,#p2,0.961042
299,talk,2.134785
3901,touched,0.737455
1343,sense,1.337883
5307,strength,0.382594
368,smaller,1.088200
1858,drink,1.542141
3714,bacardi,0.395523
2754,patriotic,0.173499
816,something,4.613643
396,way,1.964620
54,start,2.434887
606,home,1.277999
1478,aint,0.813498
795,co,0.775132
60,watch,4.107891
7065,iron,0.290200
733,news,1.808425
162,barack,4.649986
3179,enter,0.286492
142,time,2.114761
8312,acceptable,0.871332
1827,#cnndebate,1.275818
127,talks,0.906103
22,fucking,0.935921
88,idiot,1.719299
1379,la,2.043633
4550,lo,1.024526
138,income,1.281971
732,county,0.672587
734,#teaparty,0.993568
130,fact,1.236804
3035,scary,0.743366
553,make,4.539484
244,#obama,1.565463
2020,teleprompter,0.993058
102,fuck,1.561902
101,voting,1.036157
100,even,2.589357
3343,#obamacare,0.593851
358,relatable,0.431904
638,create,1.762473
1024,slots,0.529023
1577,add,0.394035
10,jobs,5.665187
3379,counters,0.578040
1970,remembering,0.295167
146,debates,3.214327
704,celebrating,0.487321
1071,front,2.212923
584,debating,1.259375
5526,3rd,1.183420
1969,test,0.722157
886,win,0.911533
2342,gop,1.465484
2639,close,0.699385
1248,deficit,1.248811
114,ideas,2.132893
115,hiring,0.766262
878,speech,3.562311
148,set,0.580771
3501,segment,0.626173
139,stein,0.940267
2925,closing,1.109340
50,#debates,6.416638
3484,ooh,0.756372
888,dig,0.613158
2087,loves,1.108041
1866,questions,1.932263
1364,human,1.065580
1002,wanna,1.546088
19,mitt,8.299391
951,asked,1.530682
1284,respond,1.005217
915,big,1.570560
2508,city,1.043565
387,america,2.775834
7956,loving,0.315524
1109,guy,1.845420
2347,mad,0.550971
738,weird,0.578889
2190,hearing,1.474279
800,specific,1.786627
495,help,2.693932
1684,educational,0.770265
1702,met,1.230228
2845,named,1.316376
118,years,2.982254
4032,loss,0.978941
137,low,3.374611
5245,promised,0.307462
1294,personal,2.328991
1354,convincing,0.335404
677,patriotism,3.106842
4515,difficult,0.382112
1397,romneys,1.701301
1032,spending,1.250281
129,live,3.865352
7066,iphone,0.445924
600,needs,2.797957
445,stay,0.680553
933,oh,2.095836
3038,#presidentialdebates,0.383928
175,sound,2.338099
983,ok,1.546702
652,invest,0.992912
849,gets,1.309772
1779,catch,0.361799
1905,respect,0.326777
3290,oil,1.240474
453,race,3.158123
6088,#teamsnark,0.520636
3254,ole,0.674143
1229,screen,1.217105
7,weve,1.054241
1914,#garyjohnsonforpresident,1.025458
309,support,1.103494
336,government,3.296603
1918,johnson,0.912193
1917,gary,0.772958
1780,phrase,1.181922
406,business,1.328741
182,anniversary,5.715913
4537,barak,1.360136
5622,vagina,0.470255
18,actually,3.673764
552,stupid,0.396892
3385,name,1.335629
1712,solutions,1.968525
1266,#mitt2012,0.626762
3482,distract,0.287619
3741,current,0.864464
3891,dung,0.503184
1682,laugh,1.317505
2983,usa,0.857529
2010,el,3.186312
2956,como,0.602003
2954,reducir,0.450345
2373,graph,0.962834
